"","dis_prep","dis_soc","dis_exp","dis_perception","dis_stepshelp","dis_confidence","dis_awareness_effect","dis_awareness_count","dis_prepactions_count","disability","care","numchild","numadult","homeownership","income_agg","rurality","age"
"1",4,4,3,4,6,4,3,7,2,0,0,1,3,1,2,0,2
"2",4,6,3,3,6,6,3,6,5,0,0,3,5,1,3,0,5
"3",3,5,3,4,4,4,3,3,3,0,0,1,3,0,1,0,3
"4",5,6,2,1,1,5,3,3,3,0,0,0,2,0,2,0,4
"5",5,5,3,3,5,5,3,5,6,0,1,0,2,1,3,0,3
"6",2,6,3,4,4,5,0,1,4,0,0,0,7,1,3,0,2
"7",6,5,3,3,5,5,3,8,9,0,0,1,2,1,1,0,4
"8",5,6,3,3,5,5,3,10,9,0,0,3,5,1,2,0,3
"9",4,3,3,4,6,5,3,4,1,0,0,2,4,1,2,0,3
"10",4,5,1,2,6,5,3,1,2,0,0,1,4,1,1,0,1
"11",5,6,3,3,5,5,3,8,4,0,0,0,1,1,1,0,6
"12",4,5,3,3,5,5,3,1,4,1,0,0,2,0,1,0,5
"13",2,3,2,3,5,4,3,1,1,0,0,0,2,1,1,0,6
"14",3,3,3,3,5,4,2,5,5,0,0,0,2,1,3,0,7
"15",4,6,3,4,6,6,3,2,4,1,1,1,2,1,2,0,3
"16",2,4,2,3,5,4,3,5,4,0,0,2,4,0,1,0,2
"17",2,3,2,4,6,6,0,1,1,0,0,1,1,1,3,0,4
"18",5,6,3,4,6,6,3,5,6,1,1,0,1,0,1,0,4
"19",6,6,2,2,5,6,3,2,1,1,0,1,1,1,3,0,4
"20",5,5,3,4,6,6,3,5,3,0,1,1,5,0,1,0,2
"21",5,6,2,1,5,4,3,8,2,0,1,0,2,0,1,0,5
"22",5,6,3,4,6,6,3,8,8,1,1,2,2,1,3,0,2
"23",5,6,3,3,4,5,3,7,3,0,0,0,2,1,2,0,7
"24",4,5,3,3,4,4,3,2,4,0,1,1,3,1,3,0,2
"25",4,6,3,3,4,4,3,1,2,1,1,0,3,0,1,0,7
"26",4,5,2,3,6,5,3,6,4,0,0,0,2,0,2,0,7
"27",4,6,2,4,6,6,3,4,1,0,1,1,3,1,3,0,3
"28",4,6,2,4,5,6,3,8,7,0,0,0,1,0,1,0,7
"29",4,6,2,4,6,6,3,3,6,0,0,1,3,0,2,0,5
"30",3,1,2,1,1,1,0,1,1,0,0,0,3,0,1,0,4
"31",4,4,1,3,5,3,3,4,5,0,0,0,2,1,3,0,5
"32",2,2,2,1,1,2,0,1,1,0,0,0,1,0,1,0,3
"33",3,4,2,3,5,5,2,2,2,0,0,0,1,1,2,0,8
"34",2,4,3,3,5,5,2,2,2,0,0,0,1,0,1,0,6
"35",2,3,3,4,6,6,3,1,4,1,1,1,1,0,1,0,4
"36",6,5,3,4,5,5,3,5,6,0,0,0,2,0,1,0,4
"37",4,5,3,3,5,6,3,4,3,0,0,2,2,1,2,0,5
"38",5,6,3,2,4,5,3,5,7,1,0,0,1,1,2,0,7
"39",5,6,3,4,6,5,3,4,4,1,1,0,3,0,1,0,5
"40",2,4,3,3,4,3,3,6,1,0,0,1,2,1,2,0,5
"41",5,6,2,4,6,5,3,7,5,0,0,2,4,0,3,0,4
"42",4,5,3,3,6,6,3,8,8,0,0,0,2,1,2,0,6
"43",4,6,2,4,6,6,3,5,7,0,0,0,2,1,3,0,6
"44",2,1,2,3,4,4,2,1,1,1,0,3,2,0,1,0,2
"45",5,5,3,4,5,5,3,11,6,0,0,1,2,1,2,0,3
"46",4,4,3,3,5,4,2,3,2,0,0,0,2,1,3,0,6
"47",5,5,3,4,1,4,3,6,2,1,0,0,2,0,1,0,6
